Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2630,0.063,4,-0.05699306,82.11577961,0.090446066,0.00000707,289.3514373,2626.450635,0.999822855,0.219443177,109.5283175,2,-0.085023909,0.002996759,3.8,4.2,0.221813192,0.217010554,1,-2.764620553,0.219443177
2645,0.063,4.7,-0.066479477,92.60635732,0.105756155,0.0000421,329.7589576,2641.430392,0.999822855,0.215546802,123.6834829,2,-0.07933669,0.002890543,4.5,4.9,0.217655658,0.213392625,1,-2.764620553,0.215546802
2665,0.063,5.7,-0.080345361,107.051151,0.128210851,0.000104048,385.1277724,2661.4034,0.999822855,0.209186249,143.4617811,2,-0.071803698,0.002720393,5.5,5.9,0.211016687,0.207325363,1,-2.764620553,0.209186249
2675,0.063,6.3,-0.088457295,115.0638133,0.141447012,0.000145764,416.0041593,2671.389905,0.999822855,0.206155688,153.616501,2,-0.068058375,0.002639832,6.1,6.5,0.207860689,0.204425943,1,-2.764620553,0.206155688
2685,0.063,7,-0.09771113,123.8454165,0.156656678,0.000197641,450.0856299,2681.376409,0.999822855,0.203397115,163.8664916,2,-0.064327028,0.002568107,6.8,7.2,0.204983569,0.201790774,1,-2.764620553,0.203397115
2710,0.063,9.05,-0.124613601,147.4292681,0.201344928,0.000374005,540.7491444,2706.34267,0.999822855,0.196088575,189.4620592,2,-0.055059121,0.002383306,8.8,9.3,0.197758445,0.194400723,1,-2.764620553,0.196088575
2720,0.063,10.05,-0.137340498,157.6778021,0.22276022,0.000469401,579.5903453,2716.329174,0.999822855,0.193273924,199.4994573,2,-0.051375875,0.002312765,9.8,10.3,0.194837144,0.191696399,1,-2.764620553,0.193273924
2725,0.063,10.55,-0.143974638,162.8079544,0.233975787,0.000522447,598.6367225,2721.322426,0.999822855,0.191618677,204.437942,2,-0.049539327,0.0022743,10.3,10.8,0.193134308,0.190090227,1,-2.764620553,0.191618677
2735,0.063,11.65,-0.158072572,173.2524649,0.257956189,0.000642123,636.6145517,2731.308931,0.999822855,0.188418407,214.1074453,2,-0.04587632,0.002195984,11.4,11.9,0.189844101,0.186982493,1,-2.764620553,0.188418407
2740,0.063,12.25,-0.165684725,178.6438969,0.271001176,0.000710206,655.8349785,2736.302183,0.999822855,0.186850594,218.8197196,2,-0.044049835,0.002158507,12,12.5,0.188234105,0.185457991,1,-2.764620553,0.186850594
2750,0.063,13.55,-0.181979817,189.6293996,0.299142953,0.000864242,693.7873381,2746.288687,0.999822855,0.183728906,227.9530122,2,-0.040406844,0.002084519,13.3,13.8,0.185033781,0.182416881,1,-2.764620553,0.183728906
2765,0.063,15.75,-0.209298765,206.4460454,0.347000371,0.001146975,747.5151389,2761.268443,0.999822855,0.178949967,240.7898561,2,-0.034967121,0.001975958,15.4,16.1,0.180630137,0.177260188,1,-2.764620553,0.178949967
